kernel,BM,BN,BK,TM,TN,M,N,K,threads,smem_bytes,avg_ms,gflops,correct,status,gpu
k10_warptiling,128,64,8,4,8,2048,2048,2048,64,6144,7.1047,2418.09,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,64,8,8,4,2048,2048,2048,64,6144,6.6465,2584.79,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,64,8,8,8,2048,2048,2048,64,6144,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,64,16,4,4,2048,2048,2048,64,12288,6.8658,2502.23,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,64,16,4,8,2048,2048,2048,64,12288,6.9423,2474.66,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,64,16,8,4,2048,2048,2048,64,12288,6.8204,2518.91,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,64,16,8,8,2048,2048,2048,64,12288,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,64,32,4,4,2048,2048,2048,64,24576,8.2122,2092.00,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,64,32,4,8,2048,2048,2048,64,24576,7.7329,2221.65,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,64,32,8,4,2048,2048,2048,64,24576,7.3968,2322.62,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,64,32,8,8,2048,2048,2048,64,24576,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,128,8,4,4,2048,2048,2048,128,8192,6.6097,2599.18,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,128,8,4,8,2048,2048,2048,128,8192,6.6636,2578.16,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,128,8,8,4,2048,2048,2048,128,8192,6.4215,2675.37,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,128,8,8,8,2048,2048,2048,128,8192,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,128,16,4,4,2048,2048,2048,128,16384,6.6156,2596.87,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,128,16,4,8,2048,2048,2048,128,16384,6.3676,2698.00,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,128,16,8,4,2048,2048,2048,128,16384,6.3748,2694.98,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,128,16,8,8,2048,2048,2048,128,16384,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,128,32,4,4,2048,2048,2048,128,32768,7.0276,2444.62,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,128,32,4,8,2048,2048,2048,128,32768,6.9744,2463.27,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,128,32,8,4,2048,2048,2048,128,32768,6.6250,2593.20,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,128,32,8,8,2048,2048,2048,128,32768,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,256,8,4,4,2048,2048,2048,256,12288,6.9178,2483.43,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,256,8,4,8,2048,2048,2048,256,12288,6.7695,2537.85,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,256,8,8,4,2048,2048,2048,256,12288,6.8503,2507.90,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
